PUB_ID_C,SKU,ISBN,TITLE,CUSTOMER_NAME,A_STATUS,BOOKTYPEID,CARTON_QTY,WEIGHT,BOOKGROUP,BOOKTYPEDESC,US_INGRAM_GAP_LIST_PRICE
6010036,1501102591,9.7815E+12,Entice Me at Twilight,Simon & Schuster,production,320,16,0.759,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501102605,9.7815E+12,ESCAPE,Simon & Schuster,production,320,8,1.428,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501102621,9.7815E+12,Half-Past Dawn,Simon & Schuster,production,320,14,0.914,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,150110263X,9.7815E+12,Healing the Highlander,Simon & Schuster,production,320,16,0.759,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501102648,9.7815E+12,Heir of Danger,Simon & Schuster,production,320,16,0.793,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501102656,9.7815E+12,High Tide,Simon & Schuster,production,320,18,0.732,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501102672,9.7815E+12,Highland Scandal,Simon & Schuster,production,320,16,0.793,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501102680,9.7815E+12,Highlander in Love,Simon & Schuster,production,320,16,0.762,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501102699,9.7815E+12,A Highlander of Her Own,Simon & Schuster,production,320,20,0.671,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501102702,9.7815E+12,Hunt Her Down,Simon & Schuster,production,320,18,0.698,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501102737,9.7815E+12,Csi: Crime Scene Investigation: Shock Treatment,Simon & Schuster,production,320,20,0.671,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501102745,9.7815E+12,Csi: Crime Scene Investigation: Dark Sundays,Simon & Schuster,production,320,20,0.671,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501102788,9.7815E+12,Csi: Crime Scene Investigation: The Burning Season,Simon & Schuster,production,320,18,0.702,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501102796,9.7815E+12,Double Dealer,Simon & Schuster,production,320,20,0.641,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,150110280X,9.7815E+12,DARKER ANGELS,Simon & Schuster,production,320,18,0.732,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501102818,9.7815E+12,Demon Possessed,Simon & Schuster,production,320,20,0.671,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
6010036,1501102826,9.7815E+12,The Devil You Know,Simon & Schuster,production,320,16,0.819,R,B&W 5 x 8 in or 203 x 127 mm Perfect Bound on Groundwood w/Gloss Lam,
